title,label,label_name,topic,topic_specific,hedging_density,def_ratio,citation_count,section_count,unique_editors,age_days,recency_ratio,revert_count,talk_words,talk_editors,word_count,trends_avg
Argentine Antarctica,0,contested,geography,Geography.Geographical,5.4802,0.0465,87,20,263,6576,0.062,0,569,26,6046,5.6
Sega AM2,1,stable,culture,Culture.Media.Video_games,0.8052,0.0263,166,11,167,5848,0.032,1,184,27,5610,
Ballet Mécanique,0,contested,culture,Culture.Media.Media*,0.0,0.0315,29,11,139,7409,0.022,1,678,25,3664,9.6
"Gilbert de Clare, 8th Earl of Gloucester",1,stable,culture,Culture.Biography.Biography*,0.939,0.0217,67,10,89,7282,0.045,0,655,21,3559,
Ladislav Nemet,0,contested,culture,Culture.Philosophy_and_religion,0.625,0.0469,70,8,62,5085,0.005,1,341,9,4631,
2012 Football League One play-off final,1,stable,culture,Culture.Sports,0.0,0.0,36,9,66,5147,0.0,0,89,10,4440,
Kingdom of Valencia,0,contested,geography,Geography.Regions.Europe.Southern_Europe,2.1368,0.0,5,9,189,7590,0.023,3,4343,19,3073,
Luscombe Castle,1,stable,geography,Geography.Regions.Europe.Northern_Europe,0.0,0.2821,50,11,53,7318,0.01,0,535,13,2760,
"Life Partners, Inc.",0,contested,politics_history,History_and_Society.Business_and_economics,1.6667,0.0485,26,11,74,7376,0.017,0,584,12,2527,
Iore,1,stable,politics_history,History_and_Society.Transportation,0.0,0.0227,58,6,109,7222,0.022,0,2236,17,2482,
Larry Mendte,0,contested,culture,Culture.Biography.Biography*,1.3784,0.025,48,18,224,6447,0.012,1,1881,30,3847,
Upgrade U,1,stable,culture,Culture.Media.Media*,0.0,0.0256,77,14,222,6477,0.008,0,1240,27,3940,
Rafsanjan,0,contested,geography,Geography.Regions.Asia.West_Asia,0.0,0.0,34,19,130,7963,0.022,0,335,9,2917,
Sam Cowan,1,stable,culture,Culture.Sports,0.6234,0.0128,34,10,71,7414,0.006,0,81,15,2406,
España 2000,0,contested,geography,Geography.Regions.Europe.Europe*,0.0,0.0581,62,15,171,7347,0.013,0,339,8,3127,
Svalbard Airport,1,stable,geography,Geography.Regions.Europe.Northern_Europe,0.0,0.0323,55,12,225,7299,0.027,0,365,13,2812,
AAC-1937,0,contested,politics_history,History_and_Society.Military_and_warfare,0.0,0.0455,8,10,37,3194,0.0,0,11,5,1534,
All the Ways,1,stable,culture,Culture.Media.Music,0.0,0.0303,25,7,43,2544,0.0,0,75,11,1654,
National Security Study Memorandum 200,0,contested,politics_history,History_and_Society.Politics_and_government,0.0,0.1053,15,8,105,7855,0.021,0,752,15,2229,
HMS Defence (1861),1,stable,politics_history,History_and_Society.Transportation,0.0,0.0,30,8,52,7284,0.079,0,224,12,1846,
Mandatory Swedish,0,contested,geography,Geography.Regions.Europe.Northern_Europe,1.0327,0.0476,38,8,241,7024,0.024,0,671,24,3732,
Transport in Penang,1,stable,geography,Geography.Regions.Asia.Southeast_Asia,0.0,0.0988,97,15,84,6819,0.0,0,16,6,3956,
Sheldon Levy,0,contested,culture,Culture.Biography.Biography*,0.0,0.08,27,15,89,7569,0.006,0,127,11,1737,
The Arsenal of Freedom,1,stable,culture,Culture.Media.Television,0.0,0.0462,19,7,170,7709,0.007,0,356,21,1964,
Mother Shipton,0,contested,geography,Geography.Regions.Europe.Northern_Europe,1.5314,0.0339,56,13,250,8830,0.007,0,1326,24,3448,
Group 4 element,1,stable,science,STEM.STEM*,1.3966,0.0278,67,15,198,8135,0.01,2,972,31,4129,
List of fatwas,0,contested,culture,Culture.Philosophy_and_religion,0.9747,0.0569,66,12,259,7517,0.004,1,1810,30,4745,
The Web Planet,1,stable,culture,Culture.Media.Television,0.0,0.0,20,15,224,7571,0.01,0,467,19,4471,
Orange Revolution,0,contested,geography,Geography.Regions.Europe.Eastern_Europe,2.1858,0.0125,126,23,290,4524,0.068,0,3630,28,8278,
Michel Aflaq,1,stable,geography,Geography.Regions.Asia.West_Asia,1.5497,0.0189,17,21,263,5235,0.022,1,3066,21,7967,
"Traditional music of Galicia, Cantabria and Asturias",0,contested,culture,Culture.Media.Music,0.6671,0.0909,1,15,199,8141,0.017,0,2882,27,3142,
Nihil (KMFDM album),1,stable,culture,Culture.Media.Music,0.0,0.0714,67,11,150,8149,0.017,1,1491,24,2714,
Inner Mongolian People's Party,0,contested,geography,Geography.Regions.Asia.East_Asia,0.0,0.0286,11,12,133,7731,0.03,0,730,26,1643,
Hurricane of 1928 African-American Mass Burial Site,1,stable,geography,Geography.Regions.Americas.North_America,1.1641,0.06,18,8,41,7189,0.0,0,279,13,1675,
Adam Marjoram,0,contested,geography,Geography.Regions.Oceania,0.0,0.0159,7,9,21,2602,0.073,0,27,5,2632,
Stephen Jolly,1,stable,geography,Geography.Regions.Oceania,2.3622,0.0167,50,10,70,2893,0.106,1,316,17,2641,
IR35,0,contested,politics_history,History_and_Society.Politics_and_government,0.302,0.0469,40,11,220,7506,0.024,0,4255,25,4364,
Stainforth and Keadby Canal,1,stable,politics_history,History_and_Society.Transportation,0.0,0.0435,9,10,63,7308,0.006,0,170,13,4654,
