title,label,label_name,topic,hedging_density,causal_density,def_ratio,mtld,word_count,citation_count,section_count,unique_editors,age_days,recency_ratio,trends_avg,revert_count,talk_words,talk_editors
"Æthelred, Lord of the Mercians",1,stable,politics,0.6343,2.8544,0.0254,73.7862,3920,0,10,161,8145,0.006,6795,1,1117,25
Purushamedha,0,contested,culture,1.4025,5.6101,0.0513,67.5818,1120,11,13,132,7785,0.028,2166,2,2303,19
Agrippina (opera),1,stable,culture,0.2585,0.7756,0.0346,101.4267,6360,117,25,202,6247,0.012,2238,2,203,26
History of the United Arab Emirates,0,contested,history,0.2953,1.0335,0.0357,65.8099,15146,276,35,222,2291,0.09,16279,5,2744,23
Armero tragedy,1,stable,history,0.3557,3.5575,0.021,83.8648,6666,115,17,279,5691,0.024,15667,0,3750,26
James Groppi,0,contested,people,0.0,0.9009,0.0137,77.3063,1615,15,8,120,7895,0.01,1550,0,422,16
1981 World Snooker Championship,1,stable,culture,0.0,2.947,0.027,33.6473,4946,110,16,79,7301,0.009,1512,0,427,15
Edward Spears,0,contested,politics,0.2866,1.2421,0.0043,90.2212,13125,123,57,175,6417,0.028,1453,0,3023,23
Brazilian cruiser Bahia,1,stable,politics,0.7788,2.3364,0.05,95.1339,4746,206,10,152,6032,0.012,1371,1,1351,28
Jigme Singye Wangchuck,0,contested,history,0.0,0.7049,0.0207,78.2717,8023,153,33,209,3071,0.036,16158,3,1488,32
Apatosaurus,1,stable,history,0.0,0.7174,0.0875,67.6882,9660,247,17,246,3703,0.042,17273,2,122,21
Russians,0,contested,culture,0.1934,1.7408,0.0297,59.522,11587,220,25,176,1668,0.044,43717,3,1729,16
...And Justice for All (album),1,stable,culture,1.5613,2.0817,0.0208,68.711,8459,185,26,215,1862,0.238,41154,1,277,30
Serfoji II,0,contested,culture,0.0,0.0,0.011,92.6237,2414,12,17,134,7394,0.014,2026,0,299,14
1950 Atlantic hurricane season,1,stable,culture,0.5179,2.0715,0.0396,78.2228,6036,120,24,198,6790,0.02,2005,0,1209,26
Michael Woroniecki,0,contested,people,0.0,1.2658,0.044,93.7992,3649,124,11,192,6817,0.058,898,0,1550,22
Black-and-red broadbill,1,stable,history,0.0,2.0053,0.0759,75.4655,3640,58,14,108,6849,0.0,877,1,578,19
Christian Apologetics and Research Ministry,0,contested,history,3.3389,0.0,0.1154,80.4543,1295,24,7,206,7322,0.006,836,0,2358,30
2005 Qeshm earthquake,1,stable,history,0.0,2.5707,0.0175,82.2575,2781,64,10,94,6243,0.002,847,0,1741,20
Ben Wicks,0,contested,people,0.0,0.0,0.0,66.8318,1387,9,3,109,7853,0.0,390,0,99,11
Authentic Science Fiction,1,stable,science,0.0,4.2493,0.0149,57.188,3316,52,6,66,6784,0.007,444,0,1614,11
La Voisin,0,contested,people,0.0,1.0406,0.0667,67.7735,3630,47,17,222,8300,0.114,4346,0,780,24
Thomas Beecham,1,stable,people,0.4715,1.1001,0.0312,88.9535,10559,254,23,174,5512,0.014,3844,1,811,22
Ladislav Nemet,0,contested,history,0.625,1.875,0.0469,74.8588,4631,70,8,62,5079,0.005,953,1,341,9
Antiochus XII Dionysus,1,stable,history,0.7269,2.4231,0.0366,73.7069,6159,16,14,70,2861,0.006,979,0,795,23
Scottish Labour Students,0,contested,politics,0.0,1.8832,0.1071,66.6325,1303,13,6,160,7578,0.006,253,0,297,11
68th New York Infantry Regiment,1,stable,politics,0.0,1.0157,0.0049,75.4247,5321,0,14,67,6463,0.0,458,0,100,18
Search fund,0,contested,culture,0.0,5.6101,0.025,81.1101,1186,14,7,101,7366,0.055,3388,0,185,5
1978 FA Cup final,1,stable,culture,0.4031,2.0153,0.0081,76.322,4275,38,10,95,7048,0.008,3308,0,128,14
Gao Qiu,0,contested,politics,1.1751,3.5253,0.0,69.1596,1225,14,6,62,7498,0.0,859,0,114,11
Nicky Barr,1,stable,politics,0.0,0.4888,0.0102,92.1599,3811,86,6,117,7254,0.006,845,1,603,27
