title,label,label_name,topic,word_count,age_days,f1_original_recomputed,f3_original_recomputed,f3_no_generic_quantifiers,f4_current_ratio_min3,f4_expanded_smoothed_ratio,f5_original_reproduced,f5_revised,f6_contrastive_recomputed,f7_mtld_recomputed
Weltraumhabitat,0,contested,science,4891,5444,7.5649151502760175,6.542629319157636,2.862400327131466,,0.1666666666666666,0.9924,0.8636,5.3508,150.8721
Raffinerieexplosion in Texas City,1,stable,science,4849,5195,0.2062280882656217,1.6498247061249742,0.6186842647968653,0.1,0.3214285714285714,1.0,0.9588,2.7752,134.8087
Klassenpolitik,0,contested,politics_history,2527,5247,1.187178472497032,5.54016620498615,4.748713889988128,0.1,0.2692307692307692,1.0,0.7671,6.0729,194.8431
Tabernae (Rheinzabern),1,stable,politics_history,2493,5545,1.604492579221821,6.016847172081829,2.8078620136381867,0.0,0.1,1.0,0.9674,2.8626,104.8871
Kennedy-Methode,0,contested,science,2231,7211,0.4482294935006723,4.482294935006723,1.344688480502017,0.0,0.0454545454545454,0.9773,0.7159,8.4309,123.31
Galle,1,stable,science,2257,7649,0.4430660168365086,3.1014621178555606,1.7722640673460346,,0.25,1.0,0.9195,2.8313,111.0072
Tiroler Festspiele Erl,0,contested,culture,2212,5566,0.0,2.2603978300180834,1.8083182640144664,0.6,0.5833333333333334,1.0,1.0,1.6129,90.0133
Slughorn,1,stable,culture,2067,5642,4.354136429608127,2.418964683115626,2.418964683115626,0.25,0.3,1.0,0.5581,10.1449,275.6027
Heinrich von Brentano,0,contested,culture,1727,8229,0.5790387955993052,0.5790387955993052,0.0,,0.625,1.0,0.9524,1.5186,77.2576
Geschmackliche Schärfe,1,stable,culture,1890,8128,0.0,1.0582010582010584,0.0,,0.25,0.9821,0.875,3.1471,150.2074
Bulgarische Wiedergeburt,0,contested,geography,4416,7138,0.0,1.358695652173913,0.4528985507246377,,0.25,0.9889,0.9444,7.7434,95.4512
Elisabeth von Weida,1,stable,geography,4396,7118,4.3221110100091,2.0473157415832577,1.1373976342129208,0.0,0.3,1.0,0.9096,5.8869,135.2351
Schulweg,0,contested,politics_history,1634,7342,0.6119951040391677,4.283965728274174,1.2239902080783354,,0.75,1.0,0.8723,2.449,153.0727
Operation Earnest Will,1,stable,politics_history,1676,7322,0.5966587112171838,3.579952267303103,3.579952267303103,,0.9,1.0,0.8868,6.0443,128.1553
Lindisfarne Castle,0,contested,geography,1782,7600,1.6835016835016834,1.122334455667789,0.0,0.0,0.125,1.0,0.9815,4.6512,117.2222
Eliezer Ben-Jehuda,1,stable,geography,1931,7577,0.5178663904712584,2.589331952356292,0.5178663904712584,0.25,0.3,1.0,0.9403,2.4969,133.2094
Apadravya,0,contested,science,2037,7570,1.4727540500736376,2.454590083456063,0.4909180166912125,0.0,0.0833333333333333,1.0,0.8545,9.3023,150.3913
Laufhühnchen,1,stable,science,1999,7514,0.0,3.501750875437719,1.5007503751875937,,0.5,0.9888,0.9101,10.4834,129.6118
Spervogelton,0,contested,culture,3667,5740,7.908371966184892,4.36323970548132,1.3635124079629124,0.125,0.25,1.0,0.6494,7.4184,90.0451
Year Zero,1,stable,culture,3494,5529,0.0,2.575844304522038,1.1448196908986834,,0.5833333333333334,1.0,0.8507,8.0,128.8977
MHealth,0,contested,science,3078,3992,2.599090318388564,0.9746588693957114,0.3248862897985705,,0.5,1.0,0.9773,3.9909,179.8206
Fraktursonografie,1,stable,science,3136,4153,1.2755102040816326,1.913265306122449,1.2755102040816326,,0.25,1.0,0.8793,5.8608,126.5009
Sozionik und intertypische Beziehungen,0,contested,science,8239,7440,0.8496176720475787,2.548853016142736,1.213739531496541,0.0,0.0227272727272727,0.9831,0.7079,2.8747,113.6606
Porsche 930,1,stable,science,6837,7511,0.1462629808395495,0.7313149041977476,0.1462629808395495,,0.5,1.0,0.9902,0.0,29.4226
Bürgerversicherung,0,contested,geography,1641,8330,0.6093845216331506,3.0469226081657528,1.2187690432663012,,0.5,1.0,0.8889,5.9524,158.0983
Grunewaldsee,1,stable,geography,1514,7961,0.0,0.0,0.0,,0.5,1.0,0.9608,2.3438,129.9733
Kuno Raeber,0,contested,culture,1776,6648,0.5630630630630631,1.6891891891891893,0.5630630630630631,,0.7,1.0,0.9024,1.8927,89.2655
Garfield Akers,1,stable,culture,1516,7209,1.978891820580475,1.3192612137203166,1.3192612137203166,0.0,0.0714285714285714,1.0,0.8333,6.8359,147.8107
Wandervogel,0,contested,geography,7752,7632,0.3869969040247678,1.805985552115583,0.1289989680082559,0.2857142857142857,0.5416666666666666,0.9739,0.8657,3.9751,153.8392
Ziehenschule,1,stable,geography,7411,7637,1.2144110106598298,2.5637565780596407,1.079476453919849,0.0909090909090909,0.25,0.9953,0.9023,7.0559,147.6463
GS1,0,contested,politics_history,2105,6574,0.0,0.4750593824228028,0.0,,0.5,1.0,0.9756,0.0,92.1473
"Seawolf (U-Boot, 1957)",1,stable,politics_history,2077,6750,0.4814636494944631,2.407318247472316,0.9629272989889264,,0.5,1.0,1.0,5.0056,127.5572
Franz Ruppert,0,contested,culture,3026,4336,1.6523463317911435,1.6523463317911435,1.6523463317911435,0.0,0.4230769230769231,0.9853,0.8676,3.639,137.86
Wilhelm Kühnert,1,stable,culture,3270,4915,0.0,3.058103975535168,1.2232415902140672,0.0,0.25,0.95,0.79,8.8013,108.9166
Sanktuarium der Barmherzigkeit Gottes,0,contested,culture,3222,4935,0.3103662321539416,1.86219739292365,0.931098696461825,0.0,0.1875,0.9911,0.9196,5.0596,82.6137
GateKeeper (Cedar Point),1,stable,culture,3262,5010,0.0,2.452483139178418,0.6131207847946045,0.0,0.2142857142857142,1.0,0.9868,0.6143,132.7193
Disneyland Park (Paris),0,contested,culture,6462,4414,0.1547508511296812,2.166511915815537,0.6190034045187248,,0.5,1.0,0.9952,2.8546,81.3199
Ismar Boas,1,stable,culture,6046,4441,0.0,1.4885874958650347,1.1577902745616937,0.0,0.375,1.0,0.9519,2.7183,117.7602
Entführung von Michal Kováč jun.,0,contested,geography,3140,4964,1.2738853503184713,2.229299363057325,1.2738853503184713,0.1818181818181818,0.525,0.9935,0.9346,5.8001,176.925
East Brother Light Station,1,stable,geography,3236,4822,0.0,1.854140914709518,1.2360939431396785,,0.5,0.9875,0.9875,2.6344,105.6099
Wiktor Juschtschenko,0,contested,geography,2728,7813,0.3665689149560117,1.8328445747800588,0.7331378299120235,0.4,0.5,0.9762,0.8929,4.3817,88.3973
Bremer Wappen,1,stable,geography,2799,7563,0.7145409074669524,2.1436227224008575,1.0718113612004287,,0.1666666666666666,0.9778,0.9333,6.1323,73.6073
International Christian Fellowship,0,contested,geography,4062,5032,0.4923682914820286,3.200393894633186,1.2309207287050714,,0.7222222222222222,1.0,0.8646,2.5327,138.2371
Gresgen,1,stable,geography,3968,5156,1.0080645161290325,1.2600806451612905,0.252016129032258,0.0,0.1,1.0,0.9541,5.0414,90.0153
Uniface,0,contested,science,3193,8031,0.9395552771688068,4.071406201064829,0.9395552771688068,,0.25,0.9929,0.8929,3.2289,110.0889
Wiesenweihe,1,stable,science,3411,7967,1.1726766344180592,1.465845793022574,0.2931691586045148,,0.25,1.0,0.9018,5.2525,102.1827
Mary Baker Eddy,0,contested,culture,1555,8101,0.0,1.2861736334405145,0.0,,0.875,1.0,0.8974,5.9925,74.4741
Gerrard Winstanley,1,stable,culture,1522,7732,1.314060446780552,1.9710906701708275,0.657030223390276,0.0,0.3,1.0,0.92,6.9444,208.6525
Dorje Shugden,0,contested,culture,3353,6448,0.894721145243066,2.385923053981509,0.5964807634953773,0.1666666666666666,0.2142857142857142,0.9792,0.8958,3.2489,125.7641
Britische Mount-Everest-Expedition 1922,1,stable,culture,3215,6594,0.9331259720062208,0.3110419906687403,0.0,,0.25,1.0,1.0,7.837,136.5061
Nichtregierungsorganisation,0,contested,politics_history,6021,5427,0.4982561036372695,2.491280518186348,1.6608536787908983,0.1111111111111111,0.5,0.9333,0.7333,5.0465,184.836
Straßenbahn München Baureihe R,1,stable,politics_history,5812,5115,0.6882312456985547,0.1720578114246386,0.1720578114246386,,0.25,1.0,0.9904,2.0367,27.162
HolidayCheck Group,0,contested,geography,2018,6426,0.0,1.9821605550049552,0.0,,0.5,1.0,1.0,2.0182,106.146
Drehstrom-Versuchsstrecke Groß-Lichterfelde–Zehlendorf,1,stable,geography,1810,6775,1.1049723756906078,1.1049723756906078,0.0,,0.5,1.0,1.0,1.3271,122.097
Ifo-Geschäftsklimaindex,0,contested,politics_history,1643,7779,0.0,0.0,0.0,,0.25,1.0,0.9355,1.2821,107.6005
Halsamphora des Exekias (Berlin F 1720),1,stable,politics_history,1781,7148,2.2459292532285233,2.807411566535654,0.5614823133071308,,0.1666666666666666,1.0,0.9028,1.8975,112.3038
Klaus Berger (Theologe),0,contested,culture,5550,7120,2.1621621621621623,3.4234234234234235,2.8828828828828827,0.25,0.5,0.9822,0.7811,4.4898,120.0363
Elias Canetti,1,stable,culture,5504,7178,0.7267441860465116,1.6351744186046513,0.3633720930232558,0.0,0.0625,0.9853,0.8088,6.4103,128.8769
Fußball in England,0,contested,culture,8496,7206,0.4708097928436911,2.471751412429379,0.7062146892655368,,0.7,0.9935,0.9742,5.2852,79.9302
Uralische Sprachen,1,stable,culture,7959,7024,1.5077271013946476,4.1462495288352805,2.387234577208192,0.0,0.2777777777777778,0.9821,0.6875,5.7813,75.6191
Wilhelm Aumer,0,contested,culture,5775,2146,0.8658008658008658,1.2121212121212122,0.3463203463203463,0.3333333333333333,0.5833333333333334,0.9851,0.8955,4.9875,143.9281
Geneviève Thiroux d’Arconville,1,stable,culture,5869,2259,1.0223206679161698,2.0446413358323396,1.3630942238882264,0.0,0.1071428571428571,1.0,0.7946,4.1396,130.4435
Bund des russischen Volkes,0,contested,geography,4156,5808,0.9624639076034648,2.4061597690086622,0.2406159769008662,0.0,0.0833333333333333,0.989,0.9011,5.0785,128.146
Dschabal Sindschar,1,stable,geography,4231,6027,0.2363507445048452,1.8908059560387616,0.2363507445048452,0.0,0.2142857142857142,1.0,0.96,4.7153,157.5328
Kaufmännischer Verband Schweiz,0,contested,geography,1990,7773,0.0,2.0100502512562817,1.507537688442211,,0.5,0.9545,0.8636,0.0,84.7184
Lendkanal,1,stable,geography,2039,7454,0.4904364884747425,2.4521824423737124,0.0,,0.25,0.9861,0.9722,1.6882,125.0105
Erzgebirgischer Schwibbogen,0,contested,geography,1863,8102,1.0735373054213635,1.0735373054213635,0.5367686527106817,,0.75,0.9677,0.9355,5.2493,127.3925
Tokugawa Ieyasu,1,stable,geography,1892,8029,2.6427061310782243,2.1141649048625792,1.5856236786469344,,0.25,1.0,0.9512,7.8873,155.9358
Kameralistik,0,contested,politics_history,5903,7024,1.355243096730476,2.371675419278333,1.5246484838217855,0.0,0.625,0.9948,0.8763,5.4005,128.3838
Parkeisenbahn Wuhlheide,1,stable,politics_history,6250,7054,0.0,2.0799999999999996,0.8,,0.1666666666666666,1.0,0.9868,2.4922,87.1532
Street Football/Episodenliste,0,contested,culture,5143,5086,1.74995139023916,0.7777561734396267,0.58331713007972,,0.75,0.995,0.9208,9.5112,135.4542
Apatheia,1,stable,culture,4792,5265,1.460767946577629,5.0083472454090145,4.799666110183639,0.3333333333333333,0.675,0.8168,0.466,10.6638,198.1238
Revisionismus,0,contested,politics_history,2070,8074,0.4830917874396135,3.381642512077295,3.381642512077295,0.4,0.65,0.9559,0.8235,6.3768,190.6218
Oliver-Hazard-Perry-Klasse,1,stable,politics_history,2061,7712,0.0,0.0,0.0,,0.25,1.0,0.9759,7.3948,134.1137
Ökostrom,0,contested,science,6638,5211,0.4519433564326605,2.8623079240735163,1.2051822838204278,0.0,0.4090909090909091,0.995,0.8713,2.4927,150.7715
Physikalische Größe,1,stable,science,6692,5691,0.1494321578003586,2.092050209205021,1.3448894202032278,0.0,0.02,0.9841,0.4524,5.1302,91.1414
Holy Spirit,0,contested,culture,2604,1951,1.152073732718894,3.0721966205837172,1.920122887864823,0.0,0.125,1.0,0.8313,5.0697,108.2997
Ringo (Ballade),1,stable,culture,2764,2579,0.361794500723589,0.361794500723589,0.0,0.0,0.25,1.0,0.8209,6.8689,185.2141
Etikettierungsansatz,0,contested,politics_history,2806,6285,1.069137562366358,2.4946543121881684,1.7818959372772631,0.5,0.6428571428571429,1.0,0.6966,13.2325,177.265
Yorktown-Klasse (1937),1,stable,politics_history,2912,6767,0.0,0.3434065934065934,0.3434065934065934,,0.5,1.0,1.0,6.8611,101.0669
Michael Vassiliadis,0,contested,politics_history,1670,7127,0.5988023952095808,1.7964071856287425,1.7964071856287425,,0.7222222222222222,1.0,0.9706,1.006,96.9879
Catarina (Schiff),1,stable,politics_history,1731,6980,2.8885037550548818,4.62160600808781,1.7331022530329288,,0.25,1.0,0.9306,3.42,166.6852
Parov Stelar,0,contested,culture,2939,6966,0.0,0.0,0.0,,0.25,1.0,0.9667,0.0,57.6637
Édouard Nanny,1,stable,culture,2965,6920,1.6863406408094437,2.69814502529511,1.011804384485666,0.0,0.4166666666666667,1.0,0.9268,5.3366,237.28
Reinhold Tüxen,0,contested,geography,4380,7475,0.45662100456621,0.91324200913242,0.45662100456621,,0.7,1.0,0.9143,6.3857,134.1667
Carrara-Marmor,1,stable,geography,4575,7630,0.4371584699453552,2.622950819672131,0.8743169398907104,,0.625,1.0,0.9684,3.2362,133.4655
Naturwissenschaft und Religion,0,contested,culture,5940,6019,1.6835016835016834,5.723905723905724,3.3670033670033668,0.1052631578947368,0.2708333333333333,1.0,0.8283,7.9138,169.9867
Metallica (Album),1,stable,culture,5993,6421,0.5005840146837978,0.5005840146837978,0.0,0.0,0.1363636363636363,1.0,0.9605,6.2775,88.5064
Angela Merici,0,contested,culture,2983,8039,0.670465973851827,4.693261816962789,2.681863895407308,0.0,0.5,0.9932,0.9116,7.6842,129.7746
Fish and Chips,1,stable,culture,2808,8086,0.7122507122507122,1.7806267806267806,0.7122507122507122,0.3333333333333333,0.375,0.9851,0.9254,8.4078,115.2326
Biphobie,0,contested,politics_history,1604,6535,1.2468827930174564,4.987531172069826,3.740648379052369,0.3333333333333333,0.4375,0.98,0.86,3.1847,140.4895
Fester Wechselkurs,1,stable,politics_history,1675,6609,0.0,2.3880597014925375,0.5970149253731344,,0.5,1.0,0.8205,4.7125,165.4052
Troy Davis,0,contested,politics_history,2785,6205,1.436265709156194,2.5134649910233393,1.436265709156194,0.25,0.3421052631578947,0.9859,0.8732,6.3816,160.076
"Dorsetshire (Schiff, 1930)",1,stable,politics_history,2897,5775,0.3451846738004832,1.380738695201933,0.3451846738004832,,0.5,1.0,0.9773,2.7372,120.5133
Oberösterreichische Versicherung,0,contested,geography,2203,6905,0.0,0.4539264639128461,0.0,,0.5,1.0,0.9722,3.6408,99.4262
Lubok,1,stable,geography,2360,6702,0.0,0.0,0.0,,0.5,1.0,0.8056,6.8762,127.7361
Kornische Sprache,0,contested,culture,3344,8397,2.3923444976076556,4.784688995215311,1.4952153110047848,,0.5,0.9831,0.5763,4.8054,66.3813
Buch Tobit,1,stable,culture,3748,8372,1.6008537886873,2.934898612593383,2.40128068303095,0.0,0.0555555555555555,0.9864,0.8027,7.6874,144.8102
George Peabody,0,contested,culture,1917,7564,0.0,1.0432968179447053,1.0432968179447053,,0.25,1.0,0.9552,2.3966,88.0399
George Alsop,1,stable,culture,2251,7685,7.107952021323856,3.109729009329187,1.776988005330964,0.0,0.1363636363636363,0.9836,0.8197,7.8125,143.2446
Intrexx,0,contested,science,2212,5393,3.6166365280289328,4.520795660036167,1.3562386980108498,,0.25,1.0,0.9028,0.5727,132.105
Coniophis,1,stable,science,2358,5038,0.0,0.0,0.0,,0.5,,,0.0,
Politikverdrossenheit,0,contested,politics_history,5765,8385,2.2549869904596704,7.111882046834346,4.683434518647007,0.4285714285714285,0.5909090909090909,0.9657,0.7657,6.9486,105.285
George Mason,1,stable,politics_history,5432,7668,1.840942562592047,4.970544918998527,1.6568483063328423,0.0,0.4583333333333333,0.9868,0.9298,7.3792,162.8649
Nursultan Nasarbajew,0,contested,geography,3675,8066,0.0,0.5442176870748299,0.5442176870748299,0.25,0.4166666666666667,1.0,0.9452,2.3031,74.5714
Diolkos,1,stable,geography,3917,8181,3.8294613224406433,1.0211896859841716,0.7658922644881286,0.0769230769230769,0.1071428571428571,1.0,0.9647,8.2576,143.8251
Biofeedback,0,contested,science,2459,8066,1.220008133387556,3.253355022366816,1.220008133387556,,0.1666666666666666,1.0,0.8657,2.7082,227.1289
Theorie der endlichen Kugelpackungen,1,stable,science,2497,7939,1.6019223067681216,3.2038446135362433,1.6019223067681216,0.0,0.125,0.9872,0.6923,5.277,52.5733
Kindertagesbetreuung,0,contested,politics_history,3747,7665,0.2668801708033093,1.6012810248198557,0.8006405124099278,,0.625,1.0,0.8295,3.9698,125.3882
Wieslauftalbahn,1,stable,politics_history,3685,7828,0.542740841248304,0.542740841248304,0.271370420624152,,0.5,1.0,0.9764,8.6694,101.3943
Geschichte Äquatorialguineas,0,contested,geography,4830,7164,0.0,0.2070393374741201,0.0,,0.5,1.0,1.0,1.8282,127.4121
Mesolongi,1,stable,geography,4885,7284,1.0235414534288638,3.480040941658137,0.818833162743091,0.1111111111111111,0.15,0.9943,0.954,8.4349,121.5469
Self Storage,0,contested,culture,2405,6942,0.0,1.2474012474012477,0.4158004158004158,,0.5,1.0,0.9412,2.0534,121.7584
Adolf von Kröner,1,stable,culture,2360,7312,0.423728813559322,0.423728813559322,0.0,,0.8333333333333334,1.0,0.9672,2.1858,105.1428
Thomas Ball Barratt,0,contested,culture,3881,7063,0.0,6.183973202782788,3.3496521515073434,0.0,0.25,0.9876,0.9006,5.7593,127.9005
Madlax,1,stable,culture,3843,6909,1.3010668748373666,2.0817069997397866,0.2602133749674733,,0.6428571428571429,0.9917,0.8583,9.6017,164.2691
"Föderaler Öffentlicher Dienst Auswärtige Angelegenheiten, Außenhandel und Entwicklungszusammenarbeit",0,contested,politics_history,2826,6830,0.0,1.7692852087756543,0.7077140835102619,,0.25,0.9888,0.8652,0.4103,97.8546
Fünfjahrplan (Briefmarkenserie),1,stable,politics_history,3042,6924,0.0,4.602235371466141,2.3011176857330704,,0.1666666666666666,0.9692,0.8769,4.386,14.6254
Unicredit Bank Austria,0,contested,geography,4408,7649,0.2268602540834845,0.6805807622504537,0.4537205081669691,0.0,0.125,1.0,0.9735,1.6345,88.6783
Kloster Himmelkron,1,stable,geography,4657,7798,2.791496671677045,1.503113592441486,0.6441915396177798,0.0,0.25,1.0,0.9647,2.4739,80.3023
Politisches System Japans,0,contested,geography,3643,7615,0.2744990392533626,1.9214932747735385,0.8234971177600879,,0.75,0.9669,0.8512,7.2191,130.8934
Craters of the Moon National Monument,1,stable,geography,3380,7639,0.8875739644970414,5.029585798816568,1.4792899408284024,0.0,0.25,1.0,0.9576,2.7844,140.3292
Al-Andalus,0,contested,geography,4645,6363,0.6458557588805167,2.583423035522067,0.8611410118406889,,0.1666666666666666,1.0,0.935,8.8496,133.1996
Basler Fasnacht,1,stable,geography,4586,6279,0.2180549498473615,4.579153946794592,1.9624945486262535,0.0,0.1875,0.9856,0.8804,10.6207,166.2936
Judentum in Afrika,0,contested,geography,7971,7232,1.380002509095471,3.512733659515745,2.00727637686614,0.3684210526315789,0.4047619047619047,1.0,0.9542,4.8481,50.7941
LGV Est européenne,1,stable,geography,7672,6732,0.2606882168925964,2.997914494264859,2.21584984358707,0.0,0.0833333333333333,0.9957,0.9739,3.6298,80.8193
Nornickel,0,contested,geography,4746,7044,0.0,0.2107037505267593,0.2107037505267593,0.0,0.0454545454545454,1.0,0.963,2.269,99.502
Schwarzwaldbahn (Baden),1,stable,geography,4724,6736,0.2116850127011007,3.598645215918713,1.693480101608806,,0.25,0.9932,0.9796,4.1864,85.2654
Data Loss Prevention,0,contested,science,1785,6603,0.5602240896358543,5.602240896358543,3.92156862745098,0.0,0.1,0.9839,0.8871,9.009,182.3061
Bonnetiaceae,1,stable,science,1746,6998,0.0,4.009163802978236,1.718213058419244,,0.5,1.0,0.8571,6.3052,101.5149
Ahmad Schah Massoud,0,contested,geography,7270,5807,0.4126547455295736,1.1004126547455295,0.2751031636863824,0.0555555555555555,0.1666666666666666,0.9913,0.9043,6.4811,163.4398
S-Bahn Zürich,1,stable,geography,7244,5747,0.5521811154058531,1.2424075096631697,0.4141358365543898,,0.75,1.0,0.9542,2.9194,87.1347
Andor Ákos,0,contested,culture,6610,5251,1.059001512859304,3.3282904689863844,1.815431164901664,0.0,0.0833333333333333,0.9786,0.8075,4.3211,163.1931
